"verbo","papel"
"abnuir","Actor"
"acalentar","Actor"
"acamaradar","Actor"
"acasalar","Actor"
"aceder","Actor"
"aceitar","Actor"
"aconchegar","Actor"
"acordar2","Actor"
"admitir","Actor"
"agir","Actor"
"ajustar","Actor"
"alcovitar","Actor"
"altercar","Actor"
"alvissarar","Actor"
"amigar","Actor"
"amistar","Actor"
"andar","Actor"
"aninhar","Actor"
"anuir","Actor"
"apalavrar","Actor"
"aparceirar","Actor"
"aquiescer","Actor"
"arcar","Actor"
"arengar","Actor"
"argumentar","Actor"
"argüir","Actor"
"armar","Actor"
"arquitetar","Actor"
"assentar","Actor"
"assentir","Actor"
"atuar1","Actor"
"batalhar","Actor"
"beijar","Actor"
"bisbilhotar","Actor"
"brigar","Actor"
"cabalar","Actor"
"cacarejar","Actor"
"cair","Actor"
"cantar","Actor"
"cavaquear","Actor"
"ceder","Actor"
"chorar","Actor"
"coadunar","Actor"
"colidir","Actor"
"combater","Actor"
"combinar","Actor"
"comentar","Actor"
"comerciar","Actor"
"compactuar","Actor"
"comparticipar","Actor"
"compartilhar","Actor"
"compartir","Actor"
"competir","Actor"
"comprazer","Actor"
"comungar","Actor"
"comunicar","Actor"
"concertar","Actor"
"conchegar","Actor"
"concordar","Actor"
"condescender","Actor"
"condizer","Actor"
"confabular","Actor"
"conferenciar","Actor"
"conflitar","Actor"
"conjurar","Actor"
"consentir","Actor"
"conspirar","Actor"
"consultar","Actor"
"contemporizar","Actor"
"contender","Actor"
"contestar","Actor"
"contradizer","Actor"
"contratar","Actor"
"convencionar","Actor"
"conversar","Actor"
"convir","Actor"
"copular","Actor"
"coscuvilhar","Actor"
"cruzar","Actor"
"dar","Actor"
"debater","Actor"
"defrontar","Actor"
"deparar","Actor"
"desagregar","Actor"
"desapoiar","Actor"
"descasar","Actor"
"desconvir","Actor"
"desdizer","Actor"
"desirmanar","Actor"
"desligar","Actor"
"desposar","Actor"
"desquitar","Actor"
"dialogar","Actor"
"digladiar","Actor"
"discordar","Actor"
"discutir","Actor"
"disputar","Actor"
"dissociar","Actor"
"divorciar","Actor"
"emparceirar","Actor"
"encarar","Actor"
"encontrar","Actor"
"encrencar","Actor"
"engrenar","Actor"
"enquadrar","Actor"
"escaramuçar","Actor"
"esgrimir","Actor"
"esposar","Actor"
"estabelecer","Actor"
"estar","Actor"
"estipular","Actor"
"falar","Actor"
"firmar","Actor"
"fofocar","Actor"
"freqüentar","Actor"
"futricar","Actor"
"fuxicar","Actor"
"galrar","Actor"
"garrular","Actor"
"gladiar","Actor"
"gralhar","Actor"
"grazinar","Actor"
"guerrear","Actor"
"harmonizar","Actor"
"hostilizar","Actor"
"ilidir","Actor"
"intrigar","Actor"
"irmanar","Actor"
"legiferar","Actor"
"legislar","Actor"
"ler","Actor"
"linguajar","Actor"
"litigar","Actor"
"lutar","Actor"
"manobrar","Actor"
"maquinar","Actor"
"matraquear","Actor"
"mesquinhar","Actor"
"mexericar","Actor"
"militar","Actor"
"molecar","Actor"
"namorar","Actor"
"namoricar","Actor"
"namoriscar","Actor"
"negociar","Actor"
"obrar","Actor"
"ombrear","Actor"
"operar","Actor"
"ornar","Actor"
"oscular","Actor"
"pactuar","Actor"
"palavrear","Actor"
"palestrar","Actor"
"palrar","Actor"
"palrear","Actor"
"papagaiar","Actor"
"papaguear","Actor"
"papear","Actor"
"paqueirar","Actor"
"paquerar","Actor"
"parlamentar","Actor"
"parolar","Actor"
"participar","Actor"
"partilhar","Actor"
"pechinchar","Actor"
"pelejar","Actor"
"pleitear","Actor"
"porfiar","Actor"
"praticar","Actor"
"preparar","Actor"
"proceder","Actor"
"prosear","Actor"
"pugnar","Actor"
"punir2","Actor"
"quadrar","Actor"
"querelar","Actor"
"querer","Actor"
"rabular","Actor"
"rebater","Actor"
"recalcitrar","Actor"
"redargüir","Actor"
"refutar","Actor"
"regatear","Actor"
"relaxar","Actor"
"relevar","Actor"
"replicar","Actor"
"repudiar","Actor"
"responder","Actor"
"rinhar","Actor"
"rivalizar","Actor"
"rixar","Actor"
"separar","Actor"
"suar","Actor"
"subscrever","Actor"
"tagarelar","Actor"
"tecer","Actor"
"toar","Actor"
"topar","Actor"
"trabalhar","Actor"
"traçar1","Actor"
"tramar","Actor"
"transigir","Actor"
"tratar","Actor"
"treler","Actor"
"urdir","Actor"
"virar","Actor"
"zarelhar","Actor"
"abnuir","Actor1"
"acalentar","Actor1"
"acamaradar","Actor1"
"acasalar","Actor1"
"aceder","Actor1"
"aceitar","Actor1"
"aconchegar","Actor1"
"acordar2","Actor1"
"admitir","Actor1"
"agir","Actor1"
"ajustar","Actor1"
"alcovitar","Actor1"
"altercar","Actor1"
"alvissarar","Actor1"
"amigar","Actor1"
"amistar","Actor1"
"andar","Actor1"
"aninhar","Actor1"
"anuir","Actor1"
"apalavrar","Actor1"
"aparceirar","Actor1"
"aquiescer","Actor1"
"arcar","Actor1"
"arengar","Actor1"
"argumentar","Actor1"
"argüir","Actor1"
"armar","Actor1"
"arquitetar","Actor1"
"assentar","Actor1"
"assentir","Actor1"
"atuar1","Actor1"
"batalhar","Actor1"
"beijar","Actor1"
"bisbilhotar","Actor1"
"brigar","Actor1"
"cabalar","Actor1"
"cacarejar","Actor1"
"cantar","Actor1"
"cavaquear","Actor1"
"ceder","Actor1"
"chorar","Actor1"
"colidir","Actor1"
"combater","Actor1"
"combinar","Actor1"
"comentar","Actor1"
"comerciar","Actor1"
"compactuar","Actor1"
"comparticipar","Actor1"
"compartilhar","Actor1"
"compartir","Actor1"
"competir","Actor1"
"comprazer","Actor1"
"comungar","Actor1"
"comunicar","Actor1"
"concertar","Actor1"
"conchegar","Actor1"
"concordar","Actor1"
"condescender","Actor1"
"confabular","Actor1"
"conferenciar","Actor1"
"conflitar","Actor1"
"conjurar","Actor1"
"consentir","Actor1"
"conspirar","Actor1"
"consultar","Actor1"
"contemporizar","Actor1"
"contender","Actor1"
"contestar","Actor1"
"contradizer","Actor1"
"contratar","Actor1"
"convencionar","Actor1"
"conversar","Actor1"
"convir","Actor1"
"copular","Actor1"
"coscuvilhar","Actor1"
"cruzar","Actor1"
"cumprir","Actor1"
"dar","Actor1"
"debater","Actor1"
"defrontar","Actor1"
"deparar","Actor1"
"desagregar","Actor1"
"desapoiar","Actor1"
"descasar","Actor1"
"desconvir","Actor1"
"desdizer","Actor1"
"desirmanar","Actor1"
"desligar","Actor1"
"desposar","Actor1"
"desquitar","Actor1"
"dialogar","Actor1"
"digladiar","Actor1"
"discordar","Actor1"
"discutir","Actor1"
"disputar","Actor1"
"dissociar","Actor1"
"divorciar","Actor1"
"emparceirar","Actor1"
"encarar","Actor1"
"encontrar","Actor1"
"encrencar","Actor1"
"escaramuçar","Actor1"
"esgrimir","Actor1"
"esposar","Actor1"
"estabelecer","Actor1"
"estar","Actor1"
"estipular","Actor1"
"falar","Actor1"
"firmar","Actor1"
"fofocar","Actor1"
"freqüentar","Actor1"
"futricar","Actor1"
"fuxicar","Actor1"
"galrar","Actor1"
"garrular","Actor1"
"gladiar","Actor1"
"gralhar","Actor1"
"grazinar","Actor1"
"guerrear","Actor1"
"harmonizar","Actor1"
"hostilizar","Actor1"
"ilidir","Actor1"
"intrigar","Actor1"
"irmanar","Actor1"
"legiferar","Actor1"
"legislar","Actor1"
"ler","Actor1"
"linguajar","Actor1"
"litigar","Actor1"
"lutar","Actor1"
"manobrar","Actor1"
"maquinar","Actor1"
"matraquear","Actor1"
"mesquinhar","Actor1"
"mexericar","Actor1"
"militar","Actor1"
"molecar","Actor1"
"namorar","Actor1"
"namoricar","Actor1"
"namoriscar","Actor1"
"negociar","Actor1"
"obedecer","Actor1"
"obrar","Actor1"
"obtemperar","Actor1"
"ombrear","Actor1"
"operar","Actor1"
"oscular","Actor1"
"pactuar","Actor1"
"palavrear","Actor1"
"palestrar","Actor1"
"palrar","Actor1"
"palrear","Actor1"
"papagaiar","Actor1"
"papaguear","Actor1"
"papear","Actor1"
"paqueirar","Actor1"
"paquerar","Actor1"
"parlamentar","Actor1"
"parolar","Actor1"
"participar","Actor1"
"partilhar","Actor1"
"pechinchar","Actor1"
"pelejar","Actor1"
"pleitear","Actor1"
"porfiar","Actor1"
"praticar","Actor1"
"preparar","Actor1"
"proceder","Actor1"
"prosear","Actor1"
"pugnar","Actor1"
"punir2","Actor1"
"querelar","Actor1"
"querer","Actor1"
"rabular","Actor1"
"rebater","Actor1"
"recalcitrar","Actor1"
"redargüir","Actor1"
"refutar","Actor1"
"regatear","Actor1"
"relaxar","Actor1"
"relevar","Actor1"
"replicar","Actor1"
"repudiar","Actor1"
"responder","Actor1"
"rinhar","Actor1"
"rivalizar","Actor1"
"rixar","Actor1"
"separar","Actor1"
"suar","Actor1"
"subscrever","Actor1"
"tagarelar","Actor1"
"tecer","Actor1"
"topar","Actor1"
"trabalhar","Actor1"
"traçar1","Actor1"
"tramar","Actor1"
"transigir","Actor1"
"tratar","Actor1"
"treler","Actor1"
"urdir","Actor1"
"virar","Actor1"
"zarelhar","Actor1"
"abnuir","Actor2"
"acalentar","Actor2"
"acamaradar","Actor2"
"acasalar","Actor2"
"aceder","Actor2"
"aceitar","Actor2"
"aconchegar","Actor2"
"acordar2","Actor2"
"admitir","Actor2"
"agir","Actor2"
"ajustar","Actor2"
"alcovitar","Actor2"
"altercar","Actor2"
"alvissarar","Actor2"
"amigar","Actor2"
"amistar","Actor2"
"andar","Actor2"
"aninhar","Actor2"
"anuir","Actor2"
"apalavrar","Actor2"
"aparceirar","Actor2"
"aquiescer","Actor2"
"arcar","Actor2"
"arengar","Actor2"
"argumentar","Actor2"
"argüir","Actor2"
"armar","Actor2"
"arquitetar","Actor2"
"assentar","Actor2"
"assentir","Actor2"
"atuar1","Actor2"
"batalhar","Actor2"
"beijar","Actor2"
"bisbilhotar","Actor2"
"brigar","Actor2"
"cabalar","Actor2"
"cacarejar","Actor2"
"cantar","Actor2"
"cavaquear","Actor2"
"ceder","Actor2"
"chorar","Actor2"
"colidir","Actor2"
"combater","Actor2"
"combinar","Actor2"
"comentar","Actor2"
"comerciar","Actor2"
"compactuar","Actor2"
"comparticipar","Actor2"
"compartilhar","Actor2"
"compartir","Actor2"
"competir","Actor2"
"comprazer","Actor2"
"comungar","Actor2"
"comunicar","Actor2"
