LIVRO	ANO	TITULO_POEMA	POEMA	QNT_VERSOS	TAM_POEMA
CANTARES DO SEM-NOME E DE PARTIDAS	1995	I	Que este amor não me cegue nem me siga. E de mim mesma nunca se aperceba. Que me exclua do estar sendo perseguida E do tormento De só por ele me saber estar sendo. Que o olhar não se perca nas tulipas Pois formas tão perfeitas de beleza Vêm do fulgor das trevas. E o meu Senhor habita o rutilante escuro De um suposto de heras em alto muro. Que este amor só me faça descontente E farta de fadigas. E de fragilidades tantas Eu me faça pequena. E diminuta e tenra Como só soem ser aranhas e formigas. Que este amor só me veja de partida. 	15	546
CANTARES DO SEM-NOME E DE PARTIDAS	1995	II	E só me veja No não merecimento das conquistas. De pé. Nas plataformas, nas escadas Ou através de umas janelas baças: Uma mulher no trem: perfil desabitado de carícias. E só me veja no não merecimento e interdita: Papéis, valises, tomos, sobretudos Eu-alguém travestida de luto. (E um olhar de púrpura e desgosto, vendo através de mim navios e dorsos). Dorsos de luz de águas mais profundas. Peixes. Mas sobre mim, intensas, ilhargas juvenis Machucadas de gozo. E que jamais perceba o rocio da chama: Este molhado fulgor sobre o meu rosto. 	15	553
CANTARES DO SEM-NOME E DE PARTIDAS	1995	III	Isso de mim que anseia desepedida (Para perpetuar o que está sendo) Não tem nome de amor. Nem é celeste Ou terreno. Isso de mim é marulhoso E tenro. Dançarino também. Isso de mim É novo: Como quem come o que nada contém. A impossível oquidão de um ovo. Como se um tigre Reversivo, Veemente de seu avesso Cantasse mansamente. Não tem nome de amor. Nem se parece a mim. Como pode ser isto? Ser tenro, marulhoso Dançarino e novo, ter nome de ninguém E preferir ausência e desconforto Para guardar no eterno o coração do outro. 	16	540
CANTARES DO SEM-NOME E DE PARTIDAS	1995	IV	E por que, também não doloso e penitente? Dolo pode ser punhal. E astúcia, logro. E isso sem nome, o despedir-se sempre Tem muito de sedução, armadilhas, minúcias Isso sem nome fere e faz feridas. Penitente e algoz: Como se só na morte abraçasses a vida. É pomposo e pungente. Com ares de santidade Odores de cortesã, pode ser carmelita Ou Catarina, ser menina ou malsã. Penitente e doloso Pode ser o sumo de um instante. Pode ser tu-outro pretendido, teu adeus, tua sorte. Fêmea-rapaz, ISSO sem nome pode ser um todo Que só se ajusta ao Nunca. Ao Nunca Mais. 	15	573
CANTARES DO SEM-NOME E DE PARTIDAS	1995	V	O Nunca Mais não é verdade. Há ilusões e assomos, há repentes De perpetuar a Duração. O Nunca Mais é só meia-verdade: Como se visses a ave entre a folhagem E ao mesmo tampo não (E antevisses Contentamento e morte na paisagem). O Nunca Mais é de planícies e fendas. É de abismos e arroios. É de perpetuidade no que pensas efêmero E breve e pequenino No que sentes eterno. Nem é corvo ou poema o Nunca Mais. 	14	422
CANTARES DO SEM-NOME E DE PARTIDAS	1995	VI	Tem nome veemente. O Nunca Mais tem fome. De formosura, desgosto, ri E chora. Um tigre passeia o Nunca Mais Sobre as paredes do gozo. Um tigre te persegue. E perseguido és novo, devastado e outro. Pensas comicidade no que é breve: paixão? Há de se diluir. Molhaduras, lençóis E de fartar-se, O nojo. Mas não. Atado à tua própria envoltura Manchado de quimeras, passeias teu costado. O Nunca Mais é a fera. 	11	416
CANTARES DO SEM-NOME E DE PARTIDAS	1995	VII	Rios de rumor: meu peito te dizendo adeus. Aldeia é o que sou. Aldeã de conceitos Porque me fiz tanto de ressentimentos Que o melhor é partir. E te mandar escritos. Rios de rumor no peito: que te viram subir A colina de alfafas, sem éguas e sem cabras Mas com a mulher, aquela, Que sempre diante dela me soube tão pequena. Sabenças? Esqueci-as. Livros? Perdi-os. Perdi-me tanto em ti Que quando estou contigo não sou vista E quando estás comigo vêem aquela. 	12	467
CANTARES DO SEM-NOME E DE PARTIDAS	1995	VIII	Aquela que não te pertence por mais queira (Porque ser pertencente É entregar a alma a uma Cara, a de áspide Escura e clara, negra e transparente), Ai! Saber-se pertencente é ter mais nada. É ter tudo também. É como ter o rio, aquele que deságua Nas infinitas águas de um sem-fim de ninguéns. Aquela que não te pertence não tem corpo. Porque corpo é um conceito suposto de matéria E finito. E aquela é luz. E etérea. Pertencente é não ter rosto. É ser amante De um Outro que nem nome tem. Não é Deus nem Satã. Não tem ilharga ou osso. Fende sem ofender. É vida e ferida ao mesmo tempo, “ESSE” Que bem me sabe inteira pertencida. 	16	657
CANTARES DO SEM-NOME E DE PARTIDAS	1995	IX	Ilharga, osso, algumas vezes é tudo o que se tem. Pensas de carne a ilha, e majestoso o osso. E pensas maravilha quando pensas anca Quando pensas virilha pensas gozo. Mas tudo mais falece quando pensas tardança E te despedes. E quando pensas breve Teu balbucio trêmulo, teu texto-desengano Que te espia, e espia o pouco tempo te rondand o a ilha. E quando pensas VIDA QUE ESMORECE. E retomas Luta, ascese, e as mós do tempo vão triturando Tua esmaltada garganta... Mas assim mesmo Canta! Ainda que se desfaçam ilhargas, trilhas... Canta o começo e o fim. Como se fosse verdade A esperança. 	15	598
CANTARES DO SEM-NOME E DE PARTIDAS	1995	X	Como se fosse verdade encantações, poemas Como se Aquele ouvisse arrebatado Teus cantares de louca, as cantigas da pena. Como se a cada noite de ti se despedisses Com colibris na boca. E candeias e frutos, como se fosses amante E estivesses de luto, e Ele, o Pai Te fizesse porisso adormecer... (Como se se apiedasse porque humana És apenas poeira, E Ele o grande Tecelão da tua morte: a teia). Como se fosse vão te amar e por isso perfeito. Amar o perecível, o nada, o pó, é sempre despedir-se. E não é Ele, o Fazedor, o Artífice, o Cego O Seguidor disso sem nome? ISSO... O amor e sua fome. 	16	604
DO DESEJO	1992	I	Porque há desejo em mim, é tudo cintilância. Antes, o cotidiano era um pensar alturas Buscando Aquele Outro decantado Surdo à minha humana ladradura. Visgo e suor, pois nunca se faziam. Hoje, de carne e osso, laborioso, lascivo Tomas-me o corpo. E que descanso me dás Depois das lidas. Sonhei penhascos Quando havia o jardim aqui ao lado. Pensei subidas onde não havia rastros. Extasiada, fodo contigo Ao invés de ganir diante do Nada. 	12	443
DO DESEJO	1992	II	Ver-te. Tocar-te. Que fulgor de máscaras. Que desenhos e rictus na tua cara Como os frisos veementes dos tapetes antigos. Que sombrio te tornas se repito O sinuoso caminho que persigo: um desejo Sem dono, um adorar-te vívido mas livre. E que escura me faço se abocanhas de mim Palavras e resíduos. Me vêm fomes Agonias de grandes espessuras, embaçadas luas Facas, tempestade. Ver-te. Tocar-te. Cordura. Crueldade. 	12	420
DO DESEJO	1992	III	Colada à tua boca a minha desordem. O meu vasto querer. O incompossível se fazendo ordem. Colada à tua boca, mas descomedida Árdua Construtor de ilusões examino-te sôfrega Como se fosses morrer colado à minha boca. Como se fosse nascer E tu fosses o dia magnânimo Eu te sorvo extremada à luz do amanhecer. 	10	315
DO DESEJO	1992	IV	Se eu disser que vi um pássaro Sobre o teu sexo, deverias crer? E se não for verdade, em nada mudará o Universo. Se eu disser que o desejo é Eternidade Porque o instante arde interminável Deverias crer? E se não for verdade Tantos o disseram que talvez possa ser. No desejo nos vêm sofomanias, adornos Impudência, pejo. E agora digo que há um pássaro Voando sobre o Tejo. Por que não posso Pontilhar de inocência e poesia Ossos, sangue, carne, o agora E tudo isso em nós que se fará disforme? 	13	507
DO DESEJO	1992	V	Existe a noite, e existe o breu. Noite é o velado coração de Deus Esse que por pudor não mais procuro. Breu é quando tu te afastas ou dizes Que viajas, e um sol de gelo Petrifica-me a cara e desobriga-me De fidelidade e de conjura. O desejo Esse da carne, a mim não me faz medo. Assim como me veio, também não me avassala. Sabes por quê? Lutei com Aquele. E dele também não fui lacaia. 	11	397
DO DESEJO	1992	VI	Aquele Outro não via minha muita amplidão. Nada LHE bastava. Nem ígneas cantigas. E agora vã, te pareço soberba, magnífica E fodes como quem morre a última conquista E ardes como desejei arder de santidade. (E há luz na tua carne e tu palpitas.) Ah, porque me vejo vasta e inflexível Desejando um desejo vizinhante De uma Fome irada e obsessiva? 	9	355
DO DESEJO	1992	VII	Lembra-te que há um querer doloroso E de fastio a que chamam de amor. E outro de tulipas e de espelhos Licencioso, indigno, a que chamam desejo. Há o caminhar um descaminho, um arrastar-se Em direção aos ventos, aos açoites E um único extraordinário turbilhão. Porque me queres sempre nos espelhos Naquele descaminhar, no pó dos impossíveis Se só me quero viva nas tuas veias? 	10	388
DO DESEJO	1992	VIII	Se te ausentas há paredes em mim. Friez de ruas duras E um desvanecimento trêmulo de avencas. Então me amas? te pões a perguntar. E eu repito que há paredes, friez Há ,olimentos, e nem por isso há chama. DESEJO é um Todo lustroso de carícias Uma boca sem forma, em Caracol de Fogo. DESEJO é uma palavra com a vivez do sangue E outra com a ferocidade de Um só Amante. DESEJO é Outro. Voragem que me habita. 	11	418
DO DESEJO	1992	IX	E por que haverias de querer minha alma Na tua cama? Disse palavras líquidas, deleitosas, ásperas Obscenas, porque era assim que gostávamos. Mas não menti gozo prazer lascívia Nem omiti que a alma está além, buscando Aquele Outro. E te repito: por que haverias De querer minha alma na tua cama? Jubila-te da memória de coitos e acertos. Ou tenta-me de novo. Obriga-me. 	10	377
DO DESEJO	1992	X	Pulsas como se fossem de carne as borboletas. E o que vem a ser isso? perguntas. Digo que assim há de começar o meu poema. Então te queixas que nunca estou contigo Que de improviso lanço versos ao ar Ou falo de pinheiros escoceses, aqueles Que apetecia a Talleyrand cuidar. Ou ainda quando grito ou desfaleço Advinhas sorrisos, códigos, conluios Dizes que os devo ter nos meus avessos. Pois pode ser. Para pensar o Outro, eu deliro ou versejo. Pensá-LO é gozo. Então não sabes? INCORPÓREO É O DESEJO. 	13	513
DA NOITE	1992	I	Vi as éguas da noite galopando entre as vinhas E buscando meus sonhos. Eram soberbas, altas. Algumas tinham manchas azuladas E o dorso reluzia igual à noite E as manhãs morriam Debaixo de suas patas encarnadas. Vi-as sorvendo as uvas que pendiam E os beiços eram negros e orvalhados. Uníssonas, resfolegavam. Vi as éguas da noite entre os escombros Da paisagem que fui. Vi sombras, elfos e ciladas. Laços de pedra e palha entre as alfombras E vasto, um poço engolindo meu nome e meu retrato. Vi-as tumultuadas. Intensas. E numa delas, insone, me vi. 	15	558
DA NOITE	1992	II	Que canto há de cantar o que perdura? A sombra, o sonho, o labirinto, o caos A vertigem de ser, a asa, o grito. Que mitos, meu amor, entre os lençóis: O que tu pensas gozo é tão finito E o que pensas amor é muito mais. Como cobrir-te de pássaros e plumas E ao mesmo tempo te dizer adeus Porque imperfeito és carne e perecível E o que eu desejo é luz e imaterial. Que canto há de cantar o indefinível? O toque sem tocar, o olhar sem ver A alma, amor, entrelaçada dos indescritíveis. Como te amar, sem nunca merecer? 	14	529
DA NOITE	1992	III	Vem dos vales a voz. Do poço. Dos penhascos. Vem funda e fria Amolecida e terna, anêmonas que vi: Corfu. No mar Egeu. Em Creta. Vem revestida às vezes de aspereza Vem com brilhos de dor e madrepérola Mas ressoa cruel e abjeta Se me proponho ouvir. Vem do Nada. Dos vínculos desfeitos. Vem do Nada. Dos vínculos desfeitos. Vem dos ressentimentos. E sibilante e lisa Se faz paixão, serpente, e nos habita. 	12	411
DA NOITE	1992	IV	Dirás que sonho o dementado sonho de um poeta Se digo que me vi em outras vidas Entre claustros, pássaros, de marfim uns barcos? Dirás que sonho uma rainha persa Se digo que me vi dolente e inaudita Entre amoras negras, nêsperas, sempre-vivas? Mas não. Alguém gritava: acorda, acorda Vida. E se te digo que estavas a meu lado E eloqüente e amante e de palavras ávido Dirás que menti? Mas não. Alguém gritava: Palavras... apenas sons e areia. Acorda. Acorda Vida. 	12	474
DA NOITE	1992	V	Águas. Onde só os tigres mitigam a sua sede. Também eu em ti, feroz, encantoada Atravessei as cercaduras raras E me fiz máscara, mulher e conjetura. Águas que não bebi. Crespusculares. Cavas. Códigos que decifrei e onde me vi mil vezes Inconexa, parca. Ah, toma-me de novo Antíquissima, nova. Como se fosses o tigre A beber daquelas águas. 	9	349
DA NOITE	1992	VI	O que é a carne? O que é esse Isso Que recobre o osso Este novelo liso e convulso Esta desordem de prazer e atrito Este caos de dor dobre o pastoso. A carne. Não sei este Isso. O que é o osso? Este viço luzente Desejoso de envoltório e terra. Luzidio rosto. Ossos. Carne. Dois Issos sem nome. 	10	299
DA NOITE	1992	VII	Dunas e cabras. E minha alma voltada Para o fosco profundo da Tua Cara. Passeio meu caminho de pedra, leite e pêlo. Sou isto: um alguém-nada que te busca. Um casco. Um cheiro. Esvazia-me de perguntas. De roteiro. Que eu apenas suba. 	6	235
DA NOITE	1992	VIII	Costuro o infinito sobre o peito. E no entanto sou água fugidia e amarga. e sou crível e antiga como aquilo que vês: Pedras, frontões no Todo inamovível. Terrena, me adivinho montanha algumas vezes. Recente, inumana, inexprimível Costuro o infinito sobre o peito Como aqueles que amam. 	8	292
DA NOITE	1992	IX	Penso linhos e ungüentos Para o coração machucado de Tempo. Penso bilhas e pátios Pela comoção de contemplá-los. (E de te ver ali À luz da geometria de teus atos) Penso-te Pensando-me em agonia. E não estou. Estou apenas densa Recolhendo aroma, passo O refulgente de ti que me restou. 	11	294
DA NOITE	1992	X	Que te demores, que me persigas Como alguns perseguem as tulipas Para prover o esquecimento de si. Que te demores Cobrindo-me de sumos e de tintas Na minha noite de fomes. Reflete-me. Sou teu destino e poente. Dorme. 	8	217
AMAVISSE	1989	I	Carrega-me contigo, Pássaro-Poesia Quando cruzares o Amanhã, a luz, o impossível Porque de barro e palha tem sido esta viagem Que faço a sós comigo. Isenta de traçado Ou de complicada geografia, sem nenhuma bagagem Hei de levar apenas a vertigem e a fé: Para teu corpo de luz, dois fardos breves. Deixarei palavras e cantigas. E movediças Embaçadas vias de Ilusão. Não cantei cotidianos. Só cantei a ti Pássaro-Poesia E a paisagem-limite: o fosso, o extremo A convulsão do Homem. Carrega-me contigo. No Amanhã. 	15	526
AMAVISSE	1989	II	Como se perdesse, assim te quero. Como se não te visse (favas douradas Sob um amarelo) assim te apreendo brusco Inamovível, e te respiro inteiro Um arco-íris de ar em águas profundas. Como se fosse tudo o mais me permitisses, A mim me fotografo nuns portões de ferro Ocres, altos, e eu mesma diluída e mínima No dissoluto de toda desespedida. Como se te perdesse nos trens, nas estações Ou contornando um círculo de águas Removente ave, assim te somo a mim: De redes e de anseios inundada. 	13	501
