"ano","categoria","atribuicao","comentario","venceu"
"1969 (42nd)","Actor -- Leading Role","Richard Burton","Anne of the Thousand Days {'King Henry VIII'}","NO"
"1969 (42nd)","Actor -- Leading Role","Dustin Hoffman","Midnight Cowboy {'Ratso Rizzo'}","NO"
"1969 (42nd)","Actor -- Leading Role","Peter O'Toole","Goodbye, Mr. Chips {'Arthur Chipping'}","NO"
"1969 (42nd)","Actor -- Leading Role","Jon Voight","Midnight Cowboy {'Joe Buck'}","NO"
"1969 (42nd)","Actor -- Leading Role","John Wayne","True Grit {'Rooster Cogburn'}","YES"
"1969 (42nd)","Actor -- Supporting Role","Rupert Crosse","The Reivers {'Ned McCaslin'}","NO"
"1969 (42nd)","Actor -- Supporting Role","Elliott Gould","Bob & Carol & Ted & Alice {'Ted Henderson'}","NO"
"1969 (42nd)","Actor -- Supporting Role","Jack Nicholson","Easy Rider {'George Hanson'}","NO"
"1969 (42nd)","Actor -- Supporting Role","Anthony Quayle","Anne of the Thousand Days {'Cardinal Wolsey'}","NO"
"1969 (42nd)","Actor -- Supporting Role","Gig Young","They Shoot Horses, Don't They? {'Rocky'}","YES"
"1969 (42nd)","Actress -- Leading Role","Genevieve Bujold","Anne of the Thousand Days {'Anne Boleyn'}","NO"
"1969 (42nd)","Actress -- Leading Role","Jane Fonda","They Shoot Horses, Don't They? {'Gloria Beatty'}","NO"
"1969 (42nd)","Actress -- Leading Role","Liza Minnelli","The Sterile Cuckoo {'Pookie Adams'}","NO"
"1969 (42nd)","Actress -- Leading Role","Jean Simmons","The Happy Ending {'Mary Wilson'}","NO"
"1969 (42nd)","Actress -- Leading Role","Maggie Smith","The Prime of Miss Jean Brodie {'Miss Jean Brodie'}","YES"
"1969 (42nd)","Actress -- Supporting Role","Catherine Burns","Last Summer {'Rhoda'}","NO"
"1969 (42nd)","Actress -- Supporting Role","Dyan Cannon","Bob & Carol & Ted & Alice {'Alice Henderson'}","NO"
"1969 (42nd)","Actress -- Supporting Role","Goldie Hawn","Cactus Flower {'Toni Simmons'}","YES"
"1969 (42nd)","Actress -- Supporting Role","Sylvia Miles","Midnight Cowboy {'Cass'}","NO"
"1969 (42nd)","Actress -- Supporting Role","Susannah York","They Shoot Horses, Don't They? {'Alice'}","NO"
